time,hash-rate
2014-12-10,277260.3304
2014-12-13,286100.5156
2014-12-16,289225.7447
2014-12-19,274761.561
2014-12-22,271171.9834
2014-12-25,277685.488
2014-12-28,297019.7955
2014-12-31,309909.3338
2015-01-03,318714.726
2015-01-06,323459.8598
2015-01-09,316894.2242
2015-01-12,302463.704
2015-01-15,297101.5732
2015-01-18,306288.2272
2015-01-21,312263.311
2015-01-24,303519.9383
2015-01-27,282598.2964
2015-01-30,296921.4384
2015-02-02,317069.2015
2015-02-05,315666.4983
2015-02-08,324459.4369
2015-02-11,325783.7947
2015-02-14,318705.117
2015-02-17,324853.935
2015-02-20,338744.6766
2015-02-23,345058.6501
2015-02-26,338305.8581
2015-03-01,335436.4235
2015-03-04,347109.3574
2015-03-07,337495.0581
2015-03-10,336202.5437
2015-03-13,346865.6791
2015-03-16,337478.8311
2015-03-19,326027.4536
2015-03-22,333100.3632
2015-03-25,342699.2978
2015-03-28,361125.7289
2015-03-31,363944.166
2015-04-03,349346.5878
2015-04-06,346632.8094
2015-04-09,345894.1291
2015-04-12,344119.0779
2015-04-15,342714.5102
2015-04-18,339554.233
2015-04-21,346928.2132
2015-04-24,348565.8874
2015-04-27,350074.0497
2015-04-30,333033.2842
2015-05-03,338104.857
2015-05-06,331409.4454
2015-05-09,346053.3453
2015-05-12,341721.4033
2015-05-15,342398.0794
2015-05-18,365143.5211
2015-05-21,350303.9655
2015-05-24,347644.5787
2015-05-27,338632.8548
2015-05-30,337593.0405
2015-06-02,338632.8548
2015-06-05,341152.7355
2015-06-08,351645.1766
2015-06-11,362626.6972
2015-06-14,363978.5209
2015-06-17,352646.7784
2015-06-20,362174.7752
2015-06-23,347242.6248
2015-06-26,359593.7344
2015-06-29,361711.0675
2015-07-02,354835.5803
2015-07-05,361303.8832
2015-07-08,373630.5241
2015-07-11,373981.3509
2015-07-14,362611.5954
2015-07-17,363853.4614
2015-07-20,370334.1942
2015-07-23,367795.1743
2015-07-26,379982.6239
2015-07-29,386597.3152
2015-08-01,376078.946
2015-08-04,384246.5045
2015-08-07,377563.9566
2015-08-10,368785.4997
2015-08-13,388746.1137
2015-08-16,381356.8742
2015-08-19,365264.2878
2015-08-22,385847.8286
2015-08-25,399023.0437
2015-08-28,400167.1031
2015-08-31,407263.8701
2015-09-03,413043.3953
2015-09-06,415387.5812
2015-09-09,415620.883
2015-09-12,431987.7009
2015-09-15,427538.3894
2015-09-18,429156.3209
2015-09-21,414405.2595
2015-09-24,410138.505
2015-09-27,430216.773
2015-09-30,448756.9669
2015-10-03,441993.6251
2015-10-06,453468.7881
2015-10-09,430567.5198
2015-10-12,432294.9723
2015-10-15,429703.7936
2015-10-18,442884.8037
2015-10-21,448285.76
2015-10-24,442308.8661
2015-10-27,444903.053
2015-10-30,451963.8497
2015-11-02,468259.4999
2015-11-05,477904.2708
2015-11-08,471272.8517
2015-11-11,457125.8242
2015-11-14,491295.5187
2015-11-17,513536.8349
2015-11-20,505496.3737
2015-11-23,527474.4769
2015-11-26,537269.3457
2015-11-29,550227.3432
2015-12-02,573246.6611
2015-12-05,558786.385
2015-12-08,585252.0281
2015-12-11,634659.5167
2015-12-14,659486.2288
2015-12-17,687573.3766
2015-12-20,667413.1818
2015-12-23,684351.2456
2015-12-26,708085.3785
2015-12-29,750557.2288
2016-01-01,770515.4892
2016-01-04,739322.7071
2016-01-07,766473.2316
2016-01-10,812210.8066
2016-01-13,833604.1884
